Name1,3.0,5.0,2.0,5.0,10.0,7.0,8.0,8.0,13.0,8.0,7.0,2.0,4.0,7.0,13.0,9.0,5.0,11.0
Name2,3.0,10.0,9.0,3.0,9.0,10.0,8.0,6.0,5.0,8.0,3.0,9.0,13.0,5.0,2.0,13.0,10.0,9.0
Name3,2.0,11.0,9.0,9.0,14.0,10.0,9.0,6.0,7.0,12.0,14.0,10.0,9.0,14.0,6.0,12.0,4.0,7.0
Name4,14.0,12.0,6.0,2.0,14.0,14.0,5.0,9.0,7.0,6.0,7.0,13.0,2.0,10.0,12.0,14.0,8.0,12.0
Name5,11.0,3.0,6.0,9.0,7.0,10.0,2.0,10.0,10.0,9.0,14.0,7.0,10.0,5.0,10.0,8.0,4.0,12.0
Name6,13.0,2.0,13.0,3.0,14.0,14.0,4.0,2.0,4.0,10.0,4.0,13.0,2.0,9.0,11.0,6.0,11.0,3.0
Name7,10.0,5.0,2.0,9.0,4.0,6.0,4.0,7.0,2.0,6.0,7.0,6.0,4.0,4.0,9.0,11.0,10.0,7.0
Name8,13.0,11.0,7.0,12.0,14.0,3.0,10.0,3.0,4.0,3.0,13.0,7.0,7.0,14.0,9.0,14.0,3.0,6.0
Name9,10.0,12.0,7.0,2.0,5.0,10.0,7.0,14.0,10.0,10.0,8.0,11.0,6.0,13.0,3.0,4.0,9.0,14.0
Name10,3.0,9.0,14.0,11.0,7.0,9.0,6.0,10.0,14.0,4.0,7.0,3.0,3.0,12.0,14.0,4.0,3.0,6.0
Name11,6.0,4.0,13.0,10.0,13.0,6.0,12.0,8.0,8.0,8.0,14.0,7.0,11.0,2.0,13.0,2.0,3.0,13.0
Name12,6.0,5.0,4.0,9.0,4.0,8.0,12.0,11.0,10.0,10.0,8.0,3.0,6.0,9.0,6.0,2.0,5.0,4.0
Name13,3.0,10.0,3.0,8.0,14.0,3.0,10.0,13.0,7.0,11.0,9.0,5.0,13.0,7.0,7.0,3.0,13.0,9.0
Name14,4.0,10.0,4.0,8.0,12.0,3.0,3.0,4.0,10.0,2.0,6.0,7.0,14.0,4.0,13.0,11.0,5.0,2.0
Name15,10.0,14.0,7.0,2.0,2.0,3.0,11.0,5.0,5.0,11.0,14.0,11.0,11.0,13.0,13.0,6.0,11.0,7.0
Name16,8.0,12.0,6.0,3.0,4.0,13.0,6.0,12.0,2.0,14.0,7.0,13.0,4.0,8.0,13.0,14.0,11.0,9.0
Name17,14.0,10.0,4.0,14.0,9.0,4.0,13.0,8.0,11.0,10.0,8.0,3.0,12.0,4.0,9.0,6.0,4.0,11.0
Name18,13.0,14.0,3.0,8.0,7.0,3.0,11.0,7.0,2.0,6.0,7.0,13.0,14.0,13.0,6.0,8.0,14.0,13.0
Name19,10.0,9.0,11.0,7.0,14.0,7.0,7.0,2.0,8.0,4.0,7.0,2.0,14.0,13.0,8.0,6.0,11.0,8.0
Name20,7.0,8.0,5.0,3.0,11.0,11.0,14.0,6.0,11.0,13.0,14.0,8.0,11.0,9.0,9.0,8.0,11.0,7.0
Name21,2.0,11.0,9.0,12.0,3.0,11.0,13.0,7.0,10.0,13.0,11.0,7.0,13.0,11.0,5.0,10.0,10.0,11.0
Name22,5.0,2.0,6.0,2.0,2.0,13.0,8.0,10.0,3.0,7.0,11.0,9.0,3.0,11.0,5.0,14.0,9.0,12.0
Name23,8.0,7.0,9.0,14.0,6.0,8.0,2.0,9.0,10.0,7.0,6.0,11.0,11.0,3.0,5.0,4.0,4.0,7.0
Name24,6.0,11.0,4.0,5.0,2.0,12.0,8.0,6.0,3.0,14.0,12.0,12.0,6.0,11.0,12.0,8.0,5.0,3.0
