1700001C02Rik,3.0,5.0,2.0,5.0,10.0,7.0,8.0,8.0,13.0,8.0,7.0,2.0,4.0,7.0,13.0,9.0,5.0,11.0
1700001C19Rik,3.0,10.0,9.0,3.0,9.0,10.0,8.0,6.0,5.0,8.0,3.0,9.0,13.0,5.0,2.0,13.0,10.0,9.0
1700001F09Rik,2.0,11.0,9.0,9.0,14.0,10.0,9.0,6.0,7.0,12.0,14.0,10.0,9.0,14.0,6.0,12.0,4.0,7.0
1700001J03Rik,14.0,12.0,6.0,2.0,14.0,14.0,5.0,9.0,7.0,6.0,7.0,13.0,2.0,10.0,12.0,14.0,8.0,12.0
1700001K19Rik,11.0,3.0,6.0,9.0,7.0,10.0,2.0,10.0,10.0,9.0,14.0,7.0,10.0,5.0,10.0,8.0,4.0,12.0
1700001L19Rik,13.0,2.0,13.0,3.0,14.0,14.0,4.0,2.0,4.0,10.0,4.0,13.0,2.0,9.0,11.0,6.0,11.0,3.0
1700001O22Rik,10.0,5.0,2.0,9.0,4.0,6.0,4.0,7.0,2.0,6.0,7.0,6.0,4.0,4.0,9.0,11.0,10.0,7.0
1700001P01Rik,13.0,11.0,7.0,12.0,14.0,3.0,10.0,3.0,4.0,3.0,13.0,7.0,7.0,14.0,9.0,14.0,3.0,6.0
1700003E16Rik,10.0,12.0,7.0,2.0,5.0,10.0,7.0,14.0,10.0,10.0,8.0,11.0,6.0,13.0,3.0,4.0,9.0,14.0
1700003F12Rik,3.0,9.0,14.0,11.0,7.0,9.0,6.0,10.0,14.0,4.0,7.0,3.0,3.0,12.0,14.0,4.0,3.0,6.0
1700003H04Rik,6.0,4.0,13.0,10.0,13.0,6.0,12.0,8.0,8.0,8.0,14.0,7.0,11.0,2.0,13.0,2.0,3.0,13.0
1700006A11Rik,6.0,5.0,4.0,9.0,4.0,8.0,12.0,11.0,10.0,10.0,8.0,3.0,6.0,9.0,6.0,2.0,5.0,4.0
1700007K13Rik,3.0,10.0,3.0,8.0,14.0,3.0,10.0,13.0,7.0,11.0,9.0,5.0,13.0,7.0,7.0,3.0,13.0,9.0
1700008O03Rik,4.0,10.0,4.0,8.0,12.0,3.0,3.0,4.0,10.0,2.0,6.0,7.0,14.0,4.0,13.0,11.0,5.0,2.0
1700008P02Rik,10.0,14.0,7.0,2.0,2.0,3.0,11.0,5.0,5.0,11.0,14.0,11.0,11.0,13.0,13.0,6.0,11.0,7.0
1700009N14Rik,8.0,12.0,6.0,3.0,4.0,13.0,6.0,12.0,2.0,14.0,7.0,13.0,4.0,8.0,13.0,14.0,11.0,9.0
1700010B08Rik,14.0,10.0,4.0,14.0,9.0,4.0,13.0,8.0,11.0,10.0,8.0,3.0,12.0,4.0,9.0,6.0,4.0,11.0
1700010I14Rik,13.0,14.0,3.0,8.0,7.0,3.0,11.0,7.0,2.0,6.0,7.0,13.0,14.0,13.0,6.0,8.0,14.0,13.0
1700010L13Rik,10.0,9.0,11.0,7.0,14.0,7.0,7.0,2.0,8.0,4.0,7.0,2.0,14.0,13.0,8.0,6.0,11.0,8.0
1700011L22Rik,7.0,8.0,5.0,3.0,11.0,11.0,14.0,6.0,11.0,13.0,14.0,8.0,11.0,9.0,9.0,8.0,11.0,7.0
